IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
SAMD00003725	-0.319260223757894	-0.186206059146666	0.295134240568781	-0.0151790801897525	-0.462007890604017	-0.0488151216529654	-0.274626521073766	0.206350392616713	0.164993182533167	-0.106233123842026
SAMD00003726	0.443967765784624	0.0417601635165284	0.23163481707774	0.0253441393652168	-0.114568107272736	0.0721546566958448	-0.0284871950646706	0.063732494820164	0.017487543462467	-0.0151709218976216
SAMD00003728	-0.258389115419481	-0.167064804441856	0.315016311099582	-0.0362276090485351	-0.457655275422151	-0.0306254152593654	-0.268579929477066	0.247804691438438	0.185235328900594	-0.111278963022877
SAMD00003729	-0.0284648321831282	-0.149574935774881	0.344758748783715	0.00718512803498395	-0.374780093032444	-0.0278319314231684	-0.189666279783226	0.194671014966716	0.16345394690437	-0.0325925550078158
SAMD00003730	-0.302239504783784	-0.157261417433589	0.312589981910556	-0.0172356160886284	-0.4748226039282	-0.0631236678555368	-0.220962192806452	0.169723990484609	0.138465175180083	-0.101237910817077
SAMD00004056	-0.365702748626468	-0.0772837006904714	0.340767248692959	-0.37184663491622	0.282611044374527	0.417424673716501	0.0129341428877576	0.207973360827631	0.0347951101519947	-0.0368825649813314
SAMD00009825	0.503138355565254	-0.0448122713474237	0.0164555824686413	0.0453988070211382	0.0601181892714819	-0.0188155943245658	-0.11463076029118	0.000278566957702522	-0.166071246397695	-0.357762127414837
SAMD00010631	-0.188526500644232	0.705793343119554	0.170068913945623	0.0938056961572287	-0.114057529607766	0.0550479725744171	0.0164355366569352	0.170000005486466	0.289463142247484	0.253001616008004
SAMD00010632	0.535533253507763	-0.10829916772583	0.162449653614903	0.0801962442708568	-0.0308333702175466	0.00695690552184318	0.203110508634596	-0.107196025132548	-0.108914246804646	0.100869275200928
SAMD00010633	0.524430758516438	-0.0623573805290279	0.0426311067173416	0.041420293340359	0.0669999279746043	-0.0602772653757688	-0.0898377479128611	0.0133933204055269	-0.122613893094221	-0.308944260599658
SAMD00010634	0.509122596482229	-0.10665333349851	0.0654872114889928	0.0965739736748278	0.124804705019017	-0.122786077199977	-0.0407909824341655	0.0493790838321785	0.035639443781449	-0.027817662262515
SAMD00010635	0.529999481082916	-0.0355679516580671	0.0344188833810127	-0.00902404962246356	0.0191855087499719	0.00560560124037445	-0.115393703721563	-0.0634287205952634	-0.18179750302149	-0.195302644658781
SAMD00010636	0.494606637658314	-0.0533212537340025	-0.0322475492371545	0.0260167332276864	0.104082893119595	-0.0667572997984612	-0.132635761654124	0.0269821225215117	-0.121693046876604	-0.25345739987493
SAMD00013510	0.500917079897175	-0.0815033542727761	0.191342666555312	0.0673935509191405	-0.0561538544191532	0.0168271116523466	0.184099839216933	-0.0957852495100722	-0.1207117092977	0.0230041689291358
SAMD00016906	0.508485727234738	-0.00529920313704334	-0.186347110378735	-0.0406869122583799	-0.0211994844517198	0.277840116091204	-0.44856702676459	-0.281677252466302	0.0296275906946928	0.120119536939438
SAMD00045947	0.549703594264442	-0.074385933191907	0.310027459805048	0.00954306231253475	-0.225983173526706	0.122282919152472	0.332630421240026	-0.105572583753055	-0.0438318307653043	0.1677477633228
SAMD00045965	0.505324681091702	-0.113981723378968	0.131305895583948	0.0854097811363636	0.0430934495870142	-0.062203021356146	0.0949899340384389	0.125647391422387	0.131967893892105	-0.243951262741617
SAMD00077979	0.553695677108472	-0.0887559619396976	0.270732660486399	0.0385467693423793	-0.163422693670187	0.0763784952693465	0.32122435072807	-0.127925855832	-0.0988362961755134	0.161216840747532
SAMD00077980	0.530694600566458	0.0224571845714018	0.0676361261835223	-0.112529340100524	-0.198924202538894	0.289830412009127	-0.275287142663876	-0.28988357277865	0.00699217249423317	0.278703669116221
SAMD00077981	0.534030397417647	-0.0680507622126716	0.288988797121964	0.00846293834024014	-0.181083050447782	0.0706355296411487	0.290017845138093	-0.103088133290628	-0.0785197334552155	0.128692430624054
SAMD00077982	0.51542527202295	-0.0716486130172404	0.231972156455489	0.00756155633443861	-0.135881662781721	0.0415713005538453	0.200939894838519	-0.0739204451229852	-0.0116617761772156	0.0559000354809677
SAMD00077983	0.546262946988362	-0.0922871910180804	0.226853398071387	0.0397426447708532	-0.119010297483544	0.0157820977218922	0.221665862419978	-0.0545839381529064	-0.0479611148286293	0.0702184782372574
SAMD00077984	0.534317765248832	-0.0795616085449805	0.237279489647029	0.0519895973616814	-0.103458427203541	0.023215943292259	0.231412928337221	-0.0396062600921499	-0.0241883093048746	0.0242042018269738
SAMD00077985	0.541125276168661	-0.0841310261897616	0.260455333481068	0.0300027223594085	-0.137069537349204	0.0392842498603577	0.260801482784488	-0.0565091033601429	-0.0616061092695171	0.0508374198906824
SAMD00077986	0.53878750002848	-0.0712238995128048	0.271501626645615	0.0435629936474717	-0.165698813436227	0.0698614005588113	0.313485640672491	-0.127504578077737	-0.112162962314181	0.165825157108894
SAMD00077987	0.518648451751106	-0.119081616518505	0.107368838110553	0.106211206997004	0.0804296012934031	-0.100906545124677	0.0925630189337175	0.106868750201775	0.0922746305178482	-0.257826689517806
