IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
A340	0.191036971977222	-0.0973933089169438	0.00757667452682244	-0.0698261793661656	-0.0410417081121618	-0.0117411244003652	0.0125954288180768	-0.000785365980449174	0.0121150811285861	0.0745052303854827
A374	0.107594195770153	-0.162662989713311	0.439864429190574	-0.0612459211955953	-0.302606881152538	0.0392424730240163	-0.0620492352705601	0.16499099724399	0.0080205585161532	0.110326937999347
A401	0.146175221760237	-0.135607264171788	0.144971194552858	-0.0559338542161794	-0.147714394737023	0.0295608710803747	-0.05038140086017	0.0103545443435587	-0.00741577990909013	0.0982787946905606
A427	0.113956756403793	-0.0390397339339409	0.0493398370634779	0.0373821257455828	-0.0424880357889341	0.172693133912557	-0.136821157671717	-0.113533203774546	-0.125425792031047	0.0447122851572979
A572	0.156622123059258	-0.122878212459974	0.00155042759875298	-0.0613330242317215	-0.0364902381557766	0.0152500685336843	-0.0313513442478229	0.0299660446472981	-0.0403370482240199	0.00290635365131698
A627	0.123315145497045	-0.116387223540636	0.155934521231985	-0.0429022045210624	-0.0760179060907256	-0.00883925818476337	-0.00182305589495459	0.0246995951466383	0.0290334128788271	0.0980663045632925
A632	-0.577245854375407	-0.138122790379226	0.0148115595336612	-0.624802869488102	0.0706759847693659	0.0167229378187112	0.0334631457691501	0.0308391006209833	-0.139824508509242	0.00250187189250184
A635	-0.609993616491568	-0.135418993332984	0.0255293692392698	-0.571676108572534	0.0227081094782586	-0.00820252353582443	0.056678027927234	0.0641973759896334	-0.176881485076512	0.0232398998066388
A648	0.125059668898772	-0.114563475415281	0.28199095500875	-0.0248818654820497	-0.203738131032416	-0.08096233157534	0.0154207624837006	0.0608611715940747	0.0741693763939853	0.00168970695076869
A649	0.128226209862765	-0.15910125384469	0.383686603724078	-0.0289167765803636	-0.292506669266753	0.0469058377308901	0.0292324684534093	0.191275634932322	0.101376284967105	0.0428552246410632
A659	0.143002521066704	-0.122605186243559	0.370957024357851	-0.0639068275824293	-0.245040206457987	-0.0250960760662931	0.0877691961315485	0.136193968264479	0.0538307644568788	-0.0132683197846278
A663	0.124555011057213	-0.0504582598069619	0.0456914655130044	0.0291763497191411	-0.0430218029472179	0.171390852106292	-0.130775012273932	-0.106695730875598	-0.123648060193651	0.0520009779664698
A674	0.100650860637073	-0.119627692977917	-0.0685243242499207	-0.126856435435682	0.00686556590763075	-0.0437435423870302	-0.0297473183280257	0.0273330585741408	0.00629674735205736	0.0669353282356989
A679	-0.598378126502764	-0.032352903142067	-0.189753000681946	0.492095607384517	-0.337372575416343	-0.182672392488203	-0.0220433301329645	0.101927714683196	-0.0989733787631704	0.120989673822734
A680	-0.700453644586191	-0.0169510755222198	-0.197526710508529	0.517888460984262	-0.365627670265412	-0.202963696834655	-0.0169837576195971	0.113078963429101	-0.10976909072625	0.135290540831752
A682	0.191210764346372	0.641276607083188	-0.125079264290142	-0.254039659534872	-0.286302051025555	0.109633773049011	-0.0828268993453455	0.0403070472017973	-0.0389191980846198	-0.0671717410925269
A71	0.117175655068872	-0.119065895474938	0.261633362037595	-0.0110727450504889	-0.217066444299032	0.0308950154904307	-0.0276017175019526	0.0493313054805888	-0.0400333287622617	0.0963075148675052
