IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
207	-0.0416269215932836	0.863554178406035	0.35746800807464	0.176631904695776	-0.0758397539487286	0.0375559629139179	-0.0352927617218144	-0.0266428135762851	-0.150251865007757	0.0187697869022395
78004	0.618419167663349	-0.0657548034245667	-0.0091817838285103	-0.0105241298408465	-0.0655364042829202	-0.0486774235298275	-0.110518567022381	-0.186181136881436	-0.0123634514910804	-0.0692096261866977
CML103	-0.294707282781525	-0.243200173157423	0.191510637009903	0.153678729852409	-0.0840549629497271	-0.13632695784025	-0.0565618293831574	0.0282828778587227	0.0498696680097465	0.0617983650597627
CML333	-0.28841640018588	-0.250529715451874	0.218950051734247	0.151551399112738	-0.106946478782371	-0.140593581978315	-0.0667724661054725	0.0367111166278102	0.0795927267096936	0.0763366318018093
CML341	-0.252299897790308	-0.240763309461274	0.207028550017992	0.187269498443064	-0.0828224306211321	-0.155955921715076	-0.105367269336435	0.09267881847626	0.0109927774533257	-0.0016465221674813
CML69	-0.362929549898878	-0.286760500392044	0.27396195302932	0.198276531421767	-0.112784693744254	-0.201245232211725	-0.0961871341477554	0.0492214596911911	0.0918666498215624	0.0965086332300306
HB8229	0.145989692631702	-0.0547806828196324	0.0552756149802108	-0.198674642145696	-0.199649246307887	-0.0937978226447644	-0.0957890499936661	-0.063636694410084	-0.0124522171538768	-0.0860036851830957
IA5125	-0.130507053410977	-0.105539266235388	0.064215265905627	-0.103498917707635	0.0417318288663124	0.143801179031037	0.205557024705246	-0.229417673323514	-0.263607505029853	-0.0194333088942259
L578	-0.248249433453631	-0.162492868195826	0.144194917021776	0.105703802484434	-0.0437119119023138	-0.0611510777793389	-0.0277417466093228	-0.0324816114265887	0.0198355299718899	0.0354274978921339
TX601	-0.313987128863033	-0.260924125200049	0.236986494078461	0.183709533126611	-0.0995795769264517	-0.173314252435737	-0.0798640705204521	0.0419422942982305	0.0704404929257087	0.0895465701711257
Tzi8	-0.306439890553642	-0.254395107986795	0.236325763432504	0.173826798674045	-0.0981896126639931	-0.172653220107305	-0.091990512442285	0.0704263835626243	0.0648926390009352	0.0659537006868224
A214N	0.250993056109145	-0.0857620490457247	0.0697956048550704	-0.248913677373368	-0.272703595838347	-0.173311673636016	-0.134655292571844	-0.0352064156444334	-0.02863575197035	0.000773921965621239
A6	-0.150075745437214	-0.0976411877608216	0.0535556324370376	-0.0562976506130802	0.0379091077174391	0.000325100255002278	0.0469202876369519	-0.0532704007744073	-0.0350698823695741	-0.0402503776759728
AB28A	-0.116935432202796	-0.0764968697794333	0.0577478005993997	0.0104590784545517	0.0143082355335172	0.0323576184367285	0.00305034907194658	0.000313251640191527	0.069026925169557	-0.0645192412430904
Black_Jewell_85	-0.146196602334229	-0.126348997407329	0.081242676510305	0.0116135525514981	-0.00444398406585429	0.0261485993689622	0.0738899849172394	-0.0774333076915727	-0.132682510784713	-0.011435758099266
CI66	-0.144655538869805	-0.116379356069584	0.0612037921646366	0.0305024728272871	-0.00611433688414598	-0.013797953866133	0.0109536464777996	-0.0250350754527222	-0.0364916220873172	-0.0160648979789704
CI7	-0.122656071658275	-0.0924145758429349	0.0688912948729056	-0.0502009632458091	0.0463114553737346	0.0514603782285246	0.0130025497227578	-0.0899141546297166	-0.0213133475060641	-0.00758076664320071
CML10	-0.261302125127873	-0.238615288284218	0.217907462746492	0.196100318137482	-0.0873195080362762	-0.17217528255905	-0.110483880865084	0.103630650057521	0.0270856942957085	0.0114890602326959
CML11	-0.257222693432841	-0.239564809053996	0.222276269320598	0.200640284468564	-0.0826709309050663	-0.172202359956118	-0.0985724124530078	0.105924571689132	0.0272956592288615	0.0134890901258146
CML14	-0.251659305351283	-0.234650565290242	0.209801073008737	0.177033775615444	-0.0929564839174813	-0.149937862766635	-0.0980279204489343	0.10501338057708	0.0343313912805239	0.0226284963257603
CML157Q	-0.240060775066404	-0.238614634794356	0.20947996485768	0.158608346467006	-0.0906045877228945	-0.134708761015448	-0.105188998621027	0.0549807774418695	0.00705901306224031	0.0110094424309392
CML158Q	-0.262511305429443	-0.241128610294244	0.21351088465662	0.171198421852074	-0.0902591501172868	-0.133903745702605	-0.0870182921265677	0.0708672310560322	0.0223344431868568	0.0234692301665565
CML238	-0.228189123974189	-0.196811541799195	0.186927179761848	0.156489946192216	-0.0765420372710935	-0.12300917648213	-0.0907579438760267	0.0837654083066517	0.0177089313270236	-0.0109482987661486
CML258	-0.186553098353994	-0.140208210404896	0.132503108883844	0.0409062764044669	-0.0307321280959368	-0.0116750859359701	-0.0224836074923553	-0.0487387595876496	0.00387212964077221	0.0203507680634215
CML261	-0.258970666599793	-0.228958668590468	0.194919011997064	0.174494233417821	-0.0710077343902342	-0.151873681757049	-0.0959378778081128	0.0871004634398738	0.0242299024380914	0.0187403811596371
CML281	-0.200805866302895	-0.18132056461571	0.176720569144208	0.142596962983381	-0.0708220103407199	-0.115565900887994	-0.0942402727376347	0.0746606719192896	0.0178092103757064	-0.00715205119587985
CML311	-0.247057633567072	-0.230542728016444	0.210399896317464	0.152203323049089	-0.0887820278856458	-0.116705300564634	-0.0875978736153482	0.0739675129762188	0.00142869496505305	-0.00301637347674835
